student_id,course_id
D010770771,1311
D010770771,1298
D010770771,1301
D010770771,1302
D010770771,1300
D010770771,1296
D010770771,1303
D010770771,2941
D010770771,2992
D010770771,1294
D010770771,1299
D010771693,1309
D010771693,1308
D010771693,3780
D010771693,2929
D010771693,2192
D010771693,1307
D010772782,3780
D010772782,1316
D010772782,1317
D010772782,2916
D010772782,2988
D010772782,1315
D010772782,2894
D010772782,2891
D010782422,2151
D010782422,2152
D010782422,3808
D010782422,2153
D010782422,2154
D010782422,2150
D010782422,3818
D010782422,2192
D010788844,2135
D010788844,2999
D010788844,2139
D010788844,2137
D010788844,2132
D010788844,2136
D010788844,2134
D010788844,3767
D010788844,2138
D010790878,2927
D010790878,1294
D010790878,1299
D010790878,1301
D010790878,1296
D010790878,1298
D010790878,1302
D010790878,1303
D010790878,1300
D010790878,2167
D010793305,1316
D010793305,2905
D010793305,1317
D010793305,1315
D010793305,3780
D010793305,1352
D010793305,2973
D010793527,1335
D010793527,3013
D010793527,1334
D010793527,1324
D010794159,1308
D010794159,1971
D010794159,1307
D010794159,1309
D010794159,3780
D010795712,1302
D010795712,1300
D010795712,1299
D010795712,1298
D010795712,1303
D010795712,1360
D010795712,1301
D010795712,1294
D010795712,1296
D010796771,2168
D010796771,1321
D010796771,2171
D010796771,2170
D010796771,2191
D010796771,2914
D010800010,2965
D010800010,3899
D010800010,2979
D010800010,1341
D010800010,2926
D010800010,1340
D010803134,1340
D010803134,2952
D010803134,1341
