student_id,course_id
D0690865,2140
D0690865,3043
D0690865,2903
D0690865,2144
D0690865,2145
D0690865,2142
D0690865,2147
D0690865,2143
D0690865,3767
D0690865,2146
D069089008,2891
D069089008,1319
D069089008,1318
D069089008,2957
D069089008,1320
D069089008,2969
D069089008,3809
D069089008,3011
D0690891,1319
D0690891,2920
D0690891,2973
D0690891,1318
D0690891,2871
D0690891,3012
D0690891,1361
D0690891,1320
D0690897,2996
D0690897,2984
D0690897,3045
D0690897,2969
D0690897,3018
D069090387,2176
D069090387,1353
D069090387,1305
D069090387,1306
D069090387,2877
D069090387,3779
D069090387,1304
D069090387,2930
D069090387,2963
D0690905,2867
D0690905,2882
D0690905,2931
D0690905,2001
D0690905,2974
D0690905,3780
D0690905,1308
D0690905,1309
D0690905,1307
D069092015,1300
D069092015,2871
D069092015,2926
D069092015,1294
D069092015,1303
D069092015,1296
D069092015,1301
D069092015,1299
D069092015,1302
D069092015,2941
D069092015,1298
D0690934,1348
D0690934,1346
D0690934,1347
D0690948,1326
D0690948,3010
D0690948,1325
D0690948,2872
D0690948,2954
D0690952,3815
D0690952,2198
D0690952,2972
D0690952,2163
D0690952,2922
D069096587,1298
D069096587,2906
D069096587,3820
D069096587,2979
D069096587,1301
D069096587,1302
D069096587,2959
D069096587,1300
D069096587,1294
D069096587,1296
D069096587,1299
D069096587,1303
D0690978,1967
D0690978,3000
D0690978,2919
D0690978,2932
D0690978,2976
D069098185,1289
D069098185,1288
D069098185,1292
D069098185,1286
D069098185,1293
D069098185,1290
D069098185,2967
D069098185,1284
D069098185,1291
