student_id,course_id
D074881543,1286
D074881543,3013
D074881543,1288
D074881543,1290
D074881543,1293
D074881543,1284
D074881543,2163
D074881543,1289
D074881543,2914
D074881543,1291
D074881543,1292
D074882991,1301
D074882991,2950
D074882991,3014
D074882991,1300
D074882991,1303
D074882991,1349
D074882991,1294
D074882991,1302
D074882991,1296
D074882991,2890
D074882991,3818
D074882991,1299
D074882991,1298
D0748831,2952
D0748831,3006
D0748831,2941
D0748831,1970
D0748831,3025
D0748836,1288
D0748836,1291
D0748836,1284
D0748836,1287
D0748836,1293
D0748836,1286
D0748836,1290
D0748836,1289
D0748836,1292
D0748850,3820
D0748850,3011
D0748850,1362
D0748850,2929
D0748850,1324
D074885305,2960
D074885305,2194
D074885305,2196
D074885305,2195
D074885305,2968
D074887248,2159
D074887248,2158
D074887248,2191
D074887248,2893
D074887248,2157
D074887248,2881
D074887248,1324
D074887248,2188
D074887248,2160
D074887248,2156
D074889334,1331
D074889334,1332
D074889334,1323
D074889334,2167
D074889501,1319
D074889501,1318
D074889501,2872
D074889501,1320
D074889501,2971
D074889501,2163
D074889860,3767
D074889860,2146
D074889860,2142
D074889860,2140
D074889860,2147
D074889860,2145
D074889860,2144
D074889860,1328
D074889860,2143
D074894604,1305
D074894604,1304
D074894604,3779
D074894604,1306
D074894604,2892
D0748950,2923
D0748950,2877
D0748950,3018
D0748950,2989
D0748950,3828
D074898329,1319
D074898329,1318
D074898329,2986
D074898329,2916
D074898329,2930
D074898329,2988
D074898329,1320
D074898565,1332
D074898565,2919
D074898565,1331
